"kraj","rok","stopa_bezrobocia","edukacja","inflacja","gestosc","dzietnosc","pkb_pc","zatrudnienie","wydatki_rzadowe"
"Austria",2015,6,84.6,0.8,104.9,1.4902,39640,74.9,51.2
"Austria",2016,6.2,84.5,1,106,1.5292,40690,75.1,50.6
"Austria",2017,5.7,85,2.2,106.8,1.51755,41760,75.7,49.8
"Austria",2018,5,85.3,2.1,107.1,1.47446,43360,76.6,49.2
"Austria",2019,4.7,85.6,1.5,107.6,1.46062,44570,77.4,49.1
"Austria",2020,5.9,85.7,1.4,107.6,1.4355,42650,75.4,57.3
"Austria",2021,6,85.9,2.8,108.1,1.47612,45380,75.1,56
"Austria",2022,4.5,85.9,8.6,109.6,1.40927,49640,77.4,53
"Austria",2023,4.8,86,7.7,110.7,1.31576,52330,77.1,52.2
"Belgia",2015,8.5,74.7,0.6,371.8,1.69586,36860,67.2,53.9
"Belgia",2016,7.8,75.1,1.8,373.7,1.68349,37810,67.7,53.4
"Belgia",2017,7.1,76.8,2.2,373.6,1.64774,38980,67.8,52.3
"Belgia",2018,5.9,78.2,2.3,375.3,1.62131,40210,69,52.5
"Belgia",2019,5.3,78.7,1.2,377.3,1.60334,41730,69.8,51.8
"Belgia",2020,5.6,79.8,0.4,377.3,1.55182,40190,68.1,58.5
"Belgia",2021,6,81.5,3.2,378.9,1.59851,43680,67.5,54.9
"Belgia",2022,5.3,82.4,10.3,383.6,1.52949,48060,68.3,52.5
"Belgia",2023,5.3,82.2,2.3,386.8,1.47168,51140,68.2,52.8
"Bułgaria",2015,10.1,81.9,-1.1,66.2,1.6353,6560,68.3,40.4
"Bułgaria",2016,8.6,82.3,-1.3,64.8,1.66986,7070,68.9,34.8
"Bułgaria",2017,7.1,82.8,1.2,64.3,1.70913,7720,72.8,34.8
"Bułgaria",2018,6.2,82.6,2.6,63.9,1.73247,8340,73.9,37.1
"Bułgaria",2019,5.3,82.6,2.5,63.4,1.79021,9250,76.1,36.5
"Bułgaria",2020,6.1,83.4,1.2,63.4,1.77469,9440,74.2,41.4
"Bułgaria",2021,5.1,83.7,2.8,63,1.80211,10960,73.4,41.5
"Bułgaria",2022,4.1,84.4,13,58.8,1.7761,13310,75.9,41.3
"Bułgaria",2023,4.3,85.2,8.6,58.6,1.81442,14660,75.8,38.9
"Cypr",2015,14.9,77.9,-1.5,92,1.30847,20810,64.2,43.1
"Cypr",2016,12.9,79.5,-1.2,92.4,1.36013,21930,64.8,39.6
"Cypr",2017,11.1,81.1,0.7,93.3,1.33793,23230,68.5,38.5
"Cypr",2018,8.4,82.2,0.8,94.4,1.36045,24660,71.6,44.3
"Cypr",2019,7.1,82.3,0.5,95.7,1.40114,26110,72.7,40.3
"Cypr",2020,7.7,83,-1.1,95.7,1.36229,24630,70.9,45.9
"Cypr",2021,7.2,84.5,2.3,96.8,1.39363,27850,72,42.7
"Cypr",2022,6.2,85.2,8.1,100.6,1.36844,31560,75.2,37.7
"Cypr",2023,5.8,86.2,3.9,104,1.40391,33870,76.6,40.6
"Czechy",2015,5,93.2,0.3,136.6,1.56948,16230,76,41.7
"Czechy",2016,3.9,93.4,0.6,136.8,1.62987,17040,77.9,39.4
"Czechy",2017,2.8,93.8,2.4,137.2,1.68576,18700,79.4,38.5
"Czechy",2018,2.2,93.9,2,137.7,1.70756,20270,80.7,40.1
"Czechy",2019,2,93.8,2.6,138.2,1.70834,21740,81.3,40.4
"Czechy",2020,2.5,94.1,3.3,138.2,1.74134,20980,80.6,46.3
"Czechy",2021,2.8,94.4,3.3,138.6,1.82575,23430,80.4,45
"Czechy",2022,2.2,94.4,14.8,138.2,1.638,26670,81.8,43
"Czechy",2023,2.5,94.1,12,140.7,1.4557,29330,82.1,43.7
"Niemcy",2015,4.3,86.8,0.7,228.4,1.50232,37950,78.4,44.5
"Niemcy",2016,3.8,86.5,0.4,233.1,1.59662,39030,79.3,44.7
"Niemcy",2017,3.5,86.5,1.7,234,1.56944,40630,80,44.5
"Niemcy",2018,3.1,86.6,1.9,234.7,1.56558,41800,80.7,44.7
"Niemcy",2019,2.9,86.6,1.4,235.2,1.54091,43030,81.3,45.5
"Niemcy",2020,3.5,85.7,0.4,235.2,1.53148,42020,79.9,51.1
"Niemcy",2021,3.5,84,3.2,235.4,1.57669,44910,80.3,50.7
"Niemcy",2022,3.1,83.5,8.7,235.4,1.45567,48340,81.5,48.6
"Niemcy",2023,3,83.2,6,235.8,1.38506,50660,82.1,48.1
"Dania",2015,6,79.7,0.2,132.4,1.71295,47900,77.4,54.4
"Dania",2016,5.6,80.3,0,136.4,1.78505,49270,77.6,52.4
"Dania",2017,5.3,81,1.1,137.3,1.75155,51060,78.6,50.6
"Dania",2018,4.8,81.1,0.7,138,1.72981,51950,79.6,50.8
"Dania",2019,4.7,81.6,0.7,138.5,1.69964,53040,80.1,49.8
"Dania",2020,5.2,81.5,0.3,138.5,1.67541,53540,78.8,53.3
"Dania",2021,4.7,82.1,1.9,138.9,1.72465,58640,79.5,49.7
"Dania",2022,4.1,81.8,8.5,140.6,1.55339,64430,80.8,45.1
"Dania",2023,4.7,82.2,3.4,141.6,1.49666,62910,80.1,47.4
"Estonia",2015,6.3,87.7,0.1,30.3,1.57811,16000,74.6,39.3
