Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-03,2.60223,2.6113,2.46946,2.52706,1466192759.0277
2007-01-04,2.53869,2.59243,2.52745,2.58313,1003152669.6178
2007-01-05,2.58879,2.59944,2.54542,2.56558,988379344.92659
2007-01-08,2.59323,2.60992,2.57229,2.57811,943268428.28497
2007-01-09,2.60834,2.80407,2.56852,2.79145,3964841808.437
2007-01-10,2.85791,2.94978,2.8186,2.92468,3484907151.7548
2007-01-11,2.89446,2.91927,2.86811,2.88893,1705498972.1119
2007-01-12,2.85131,2.86711,2.81189,2.85378,1554189915.3516
2007-01-16,2.88677,2.9321,2.87836,2.92764,1472719968.5525
2007-01-17,2.9409,2.94335,2.8599,2.86403,1924414877.3546
2007-01-18,2.77465,2.77793,2.68596,2.68646,2799666771.6069
2007-01-19,2.67245,2.70404,2.65762,2.66829,1612435319.3096
2007-01-22,2.68913,2.68933,2.58294,2.61783,1709230959.6801
2007-01-23,2.58512,2.63936,2.5791,2.58442,1429602021.8504
2007-01-24,2.59638,2.62839,2.59638,2.61505,1098590620.2513
2007-01-25,2.62809,2.66829,2.59492,2.60123,1072735151.2721
2007-01-26,2.62591,2.63549,2.5636,2.57534,1168232884.0379
2007-01-29,2.60123,2.61356,2.5799,2.59213,1067494591.5396
2007-01-30,2.60894,2.60894,2.57109,2.5803,683381716.24349
2007-01-31,2.55748,2.59393,2.54416,2.58542,1011852965.9797
2007-02-01,2.59785,2.60203,2.55549,2.55549,786477686.64409
2007-02-02,2.53771,2.57109,2.52379,2.55549,735967928.60784
2007-02-05,2.54287,2.5706,2.53158,2.53158,685344357.21751
2007-02-06,2.54659,2.54708,2.49939,2.53791,1023146373.2055
2007-02-07,2.54808,2.60516,2.51994,2.59815,1262864912.399
2007-02-08,2.58275,2.60962,2.57613,2.59905,804088028.64161
2007-02-09,2.59024,2.59944,2.50978,2.51154,1018557556.6694
2007-02-12,2.5461,2.56932,2.52212,2.55994,856713370.4846
2007-02-13,2.56932,2.57249,2.54267,2.55429,687600706.70897
2007-02-14,2.55206,2.58275,2.55038,2.57279,601532355.14801
