Miasto;X1;X2;X3;X4;X5;X6;X7;X8
Powiat m. Jelenia Gora;495,3;64,8;85;5 142;693,4;1,1;1,1;11,61
Powiat m. Legnica;481;63,7;84,1;4 741;1 652,90;0,7;0,4;10,12
Powiat m. Wroclaw;561,9;59,4;90,3;9 067;2 302,10;1,5;0,5;18,97
Powiat m. Walbrzych;501;54,7;78;3 724;1 202,80;0,3;0,2;6,86
Powiat m. Bydgoszcz;477,9;58,2;90,1;6 637;1 875,60;0,4;0,4;10,34
Powiat m. Grudziadz;458;59;84,1;3 953;1 548,60;1,4;0,7;8,57
Powiat m. Torun;502,9;58,8;90,3;7 119;1 691,10;0,9;0,3;6,3
Powiat m. Wloclawek;465;57,1;89,3;5 447;1 199,90;0,5;0,5;4,46
Powiat m. Biala Podlaska;448,9;69,7;91,3;4 816;1 108,70;1,8;0,7;7,91
Powiat m. Chelm;448,3;64,1;90,9;4 866;1 642,10;1,1;1,5;5,01
Powiat m. Lublin;501,8;60,3;91,6;7 714;2 246,50;0,7;0,8;11,32
Powiat m. Zamosc;430,9;67,4;92,9;5 793;1 943,40;1,4;0,8;4,19
Powiat m. Gorzow Wielkopolski;485,2;60,3;91,4;5 391;1 358,20;1,1;1;10,84
Powiat m. Zielona Gora;480,9;68,1;93,8;5 873;500,5;2,9;1,2;11,19
Powiat m. Lodz;571,4;55,5;84,9;6 741;2 245,30;1,3;1;10,61
Powiat m. Piotrkow Trybunalski;481,7;63,4;85,8;5 197;1 000,40;1,8;1,2;7,67
Powiat m. Skierniewice;457;69,5;87,4;5 767;1 316,80;2,4;1,3;6,91
Powiat m. Krakow;559;57,8;93,2;10 426;2 457,60;1,4;0,8;19,36
Powiat m. Nowy Sacz;393,4;76,3;89,4;5 273;1 399,10;1,7;1,7;3,82
Powiat m. Tarnow;438,5;64,5;91;5 354;1 436,50;1,6;1,1;5,48
Powiat m. Ostroleka;422,4;70,6;93;5 146;1 455,80;1,4;0,6;4,17
Powiat m. Plock;477,8;59,7;92,8;5 470;1 277,60;0,7;0,7;8,05
Powiat m. Radom;447,4;63;87;5 757;1 769,70;1,4;1;5,96
Powiat m. Siedlce;473,6;63,8;93,2;6 286;2 373,60;1;0,9;10,68
Powiat m. st. Warszawa;570,3;58,8;96,4;12 323;3 600,10;0,7;0,5;12,12
Powiat m. Opole;478,9;68,2;91,1;6 496;848,5;2,1;0,7;13,34
Powiat m. Krosno;422,5;72,4;90,6;4 554;991,3;2;1,1;4,87
Powiat m. Przemysl;448,6;62,5;83;4 281;1 230,30;0,7;0,8;8,96
Powiat m. Rzeszow;489,5;68,3;95,7;6 616;1 528,40;3,9;1,8;17,04
Powiat m. Tarnobrzeg;413,3;67,2;95,7;4 873;517;1,7;2,1;3,71
Powiat m. Bialystok;480,3;61,7;96,1;6 607;2 865,00;1,1;0,6;12,53
Powiat m. Lomza;419,9;66,5;92,2;5 777;1 840,50;0,9;0,6;9,81
Powiat m. Suwalki;414;64,7;93,3;5 740;1 046,00;1,3;0,7;6,09
Powiat m. Gdansk;528,2;58,9;93;9 929;1 829,30;1;0,5;18,77
Powiat m. Gdynia;496,5;61,8;93,6;10 239;1 796,40;0,7;0,6;13,96
Powiat m. Slupsk;479;59,5;88,8;4 865;2 001,50;0,8;0,4;12,17
Powiat m. Sopot;605,2;62,4;89,5;15 620;1 859,20;0,1;0,3;10,78
Powiat m. Bielsko-Biala;456,9;70;89,3;5 954;1 340,00;2,2;1,4;7,75
Powiat m. Bytom;496;55,6;76,8;3 323;2 152,80;0,6;0,7;8,95
Powiat m. Chorzow;533,4;52,7;70,5;5 134;3 058,60;0,5;0,2;7,88
Powiat m. Czestochowa;486,3;64,4;86,5;5 691;1 304,00;1,9;1;7,01
Powiat m. Dabrowa Gornicza;450,9;63,3;90,4;4 998;608,1;2,5;1,8;4,87
Powiat m. Gliwice;483,7;62,8;87,4;5 587;1 277,40;1,3;1;11,61
Powiat m. Jastrzebie-Zdroj;395,9;70,7;95,1;3 632;974,2;1,4;1,2;3,38
Powiat m. Jaworzno;420,2;69,2;91,5;5 054;574,5;2,6;1,7;5,13
Powiat m. Katowice;557,9;59,7;85,5;6 207;1 700,90;0,8;0,7;0,89
Powiat m. Myslowice;424,6;70,2;84,7;4 729;1 091,00;2,1;1,2;5,21
Powiat m. Piekary Slaskie;438,2;62;82,8;3 957;1 308,00;1;0,5;6,31
Powiat m. Ruda Slaska;463,4;57,4;83,5;4 020;1 694,10;1,8;0,6;5,89
Powiat m. Rybnik;398,6;76,5;86,2;4 596;888,5;2,4;1,5;3,82
Powiat m. Siemianowice Slaskie;500,3;54,9;78,1;4 747;2 504,60;2;0,8;7,53
Powiat m. Sosnowiec;498;56,1;85,8;4 868;2 075,20;0,9;0,7;6,81
Powiat m. Swietochlowice;507,2;52,6;71,8;4 251;3 443,20;1,4;0,2;9,37
Powiat m. Tychy;432,4;65,1;96,4;6 123;1 504,80;2;0,9;6,07
Powiat m. Zabrze;459,8;57,2;77,1;4 141;1 932,70;1,2;0,6;7,24
Powiat m. Zory;374;76,4;93,7;5 394;956,3;4,5;3,1;5,47
Powiat m. Kielce;495,3;59,6;93,2;6 733;1 677,00;1,1;0,5;10,72
